fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,itemQuantity,itemRevenue,transactionRevenue,transactionId,eCommerceAction_type
8139956291602075639,Direct,654125,United States,Chicago,,,654,34,,20161012,1476293804,PAGE,,,37990000,,GGOEGAAX0628,Google Infant Zip Hood Royal Blue,Home/Apparel/Kid's/Kid's-Infant/,,,,,2
5923785341724478182,Organic Search,131831,Italy,not available in demo dataset,,,137,7,,20161109,1478680738,PAGE,,,37990000,,GGOEGAAX0628,Google Infant Zip Hood Royal Blue,Home/Apparel/Kid's/,,,,,2
3090567115869358047,Referral,115896,United States,Kirkland,,,191,19,,20170601,1496339660,PAGE,,,30390000,,GGOEGAAX0628,Google Infant Zip Hood Royal Blue,Home/Apparel/Kid's/Kid's-Infant/,,,,,2
0314733033105141755,Referral,39980,United States,not available in demo dataset,51710000,1,722,21,,20160902,1472879820,PAGE,,,33990000,,GGOEGAAX0629,Google Baby Essentials Set,Home/Apparel/Kid's/Kid's-Infant/,,,,,2
589585717768186070,Referral,70427,Ireland,Dublin,,,114,6,,20160811,1470906668,PAGE,,,30390000,,GGOEGAAX0656,Google Toddler Hoodie Royal Blue,Home/Apparel/Kid's/Kid's-Toddler/,,,,,2
6658065818028361552,Referral,747661,United States,Ann Arbor,,,1528,49,,20170406,1491508107,PAGE,,,30390000,,GGOEGAAX0657,Google Toddler 1/4 Zip Fleece Pewter,Home/Apparel/Kid's/Kid's-Toddler/,,,,,2
7263212197173111647,Direct,303980,United States,not available in demo dataset,,,1678,39,,20170101,1483329491,PAGE,,,19190000,,GGOEGAAX0659,Google Toddler Raglan Shirt Blue Heather/Navy,Home/Apparel/Kid's/Kid's-Toddler/,,,,,2
5147300688603884511,Referral,746889,United States,Chicago,84760000,1,1004,27,,20161019,1476888589,PAGE,,,35200000,,GGOEGAAX0689,Google Youth Girl Hoodie,Home/Apparel/Kid's/Kids-Youth/,,,,,2
7103248743233970862,Direct,20656,United States,Mountain View,,,36,4,,20160824,1472075104,PAGE,,,26990000,,GGOEGAAX0758,Google Adult Tee Fruit Games Cherries,Home/Fruit Games/,,,,,2
5039450677611598907,Direct,163294,United States,Sunnyvale,,,1003,30,78,20170705,1499281443,PAGE,,,12790000,,GGOEGBJL013999,Google Canvas Tote Natural/Navy,Home/Bags/Shopping and Totes/,,,,,2
38807504266512636,Referral,263069,United States,Mountain View,,,345,20,,20161207,1481168131,PAGE,,,7190000,,GGOEGDWC020199,Engraved Ceramic Google Mug,Home/Drinkware/Mugs and Cups/,,,,,2
6781934558737955524,Referral,1615366,United States,Ann Arbor,60970000,1,2076,31,,20161030,1477852085,PAGE,,,10390000,,GGOEGDWR015799,Red Shine 15 oz Mug,Home/Drinkware/Mugs and Cups/,,,,,2
2444057702845247657,Referral,40680,United States,Kirkland,104980000,1,759,33,78,20170724,1500934490,PAGE,,,10390000,,GGOEGDWR015799,Red Shine 15 oz Mug,Home/Drinkware/Mugs and Cups/,,,,,2
1780409618880129000,Referral,121086,Canada,not available in demo dataset,,,201,19,,20160929,1475172252,PAGE,,,97990000,,GGOEGEFQ071399,Google Phone Sanitizer,Home/Electronics/Electronics Accessories/,,,,,2
8637158932301658318,Referral,1839833,United States,San Jose,382000000,15,3595,139,,20170531,1496250783,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,Home/Gift Cards/,,,,,2
6815234192194618942,Referral,841458,United States,New York,203360000,1,1148,60,,20160927,1475008146,PAGE,,,4400000,,GGOEGOAR013099,Google Stylus Pen w/ LED Light,Home/Office/Writing Instruments/,,,,,2
6740624239409080883,Organic Search,3048143,United States,Mountain View,,,3758,45,,20170501,1493658587,EVENT,,2,2800000,,GGOEGAAX0037,Google Sunglasses,${escCatTitle},,,,,3
5427034488751812445,Organic Search,514190,United States,Fort Worth,57350000,1,904,44,,20160810,1470886063,EVENT,,1,4000000,,GGOEGAAX0037,Google Sunglasses,${escCatTitle},,,,,3
5062837720639348871,Referral,62850,United States,New York,,,1438,33,,20170502,1493733114,EVENT,,2,2800000,,GGOEGAAX0037,Google Sunglasses,${escCatTitle},,,,,3
2575256090311301096,Referral,220410,United States,not available in demo dataset,135960000,1,573,34,,20161108,1478656312,EVENT,,,31990000,,GGOEGAAX0311,Google Men's Heavyweight Long Sleeve Hero Tee Navy,${escCatTitle},,,,,3
4672677457109865399,Referral,225422,United States,San Francisco,,,402,28,,20161006,1475784631,EVENT,,1,44790000,,GGOEGAAX0358,Google Men's  Zip Hoodie,${escCatTitle},,,,,3
3279130308050377426,Referral,180628,United States,San Francisco,,,822,36,,20160805,1470436894,EVENT,,1,111990000,,GGOEGAAX0587,Google Women's Zip Hoodie Grey,Home/Apparel/Women's/Women's-Outerwear/,,,,,3
8944295631651016161,Referral,254362,United States,not available in demo dataset,,,323,12,,20170703,1499085121,EVENT,,1,17590000,,GGOEGAAX0590,Google Men's Short Sleeve Performance Badge Tee Navy,${escCatTitle},,,,,3
5492630606781186660,Referral,1332790,United States,Chicago,20190000,1,1427,12,,20161004,1475609518,EVENT,,,19190000,,GGOEGAAX0610,Google Onesie Red/Graphite,${escCatTitle},,,,,3
295775756520311310,Direct,275274,United States,Mountain View,,,390,21,,20170315,1489618411,EVENT,,1,19190000,,GGOEGAAX0617,Android Onesie Gold,Home/Apparel/Kid's/Kid's-Infant/,,,,,3
5013441016621351326,Referral,41440,United States,Mountain View,98360000,1,1124,25,,20170414,1492198690,EVENT,,1,37990000,,GGOEGAAX0628,Google Infant Zip Hood Royal Blue,Home/Apparel/Kid's/Kid's-Infant/,,,,,3
9429712068285188439,Referral,626264,United States,Kirkland,64580000,1,1472,24,,20170623,1498283637,EVENT,,,33990000,,GGOEGAAX0629,Google Baby Essentials Set,${escCatTitle},,,,,3
8007300615127214527,Organic Search,158755,United States,Sunnyvale,,,166,8,,20160901,1472744911,EVENT,,1,33990000,,GGOEGAAX0629,Google Baby Essentials Set,Home/Apparel/Kid's/Kid's-Infant/,,,,,3
146276545760921373,Organic Search,198031,United States,Los Angeles,,,657,34,,20170629,1498759552,EVENT,,1,33990000,,GGOEGAAX0629,Google Baby Essentials Set,Home/Apparel/Kid's/Kid's-Infant/,,,,,3
1856749147915772585,Organic Search,97126,Canada,Montreal,,,878,33,,20170410,1491855762,EVENT,,,33990000,,GGOEGAAX0630,Android Baby Essentials Baby Set,${escCatTitle},,,,,3
9181613675290257158,Referral,56718,United States,not available in demo dataset,305000000,1,654,20,,20170411,1491974799,EVENT,,2,149000000,,GGOEGAAX0794,Nest® Learning Thermostat 3rd Gen-USA,${escCatTitle},,,,,3
6481176079346685943,Social,73525,Germany,not available in demo dataset,,,97,4,,20170504,1493949765,EVENT,,,41990000,,GGOEGXXX0845,BLM Sweatshirt (Pre-Order),${escCatTitle},,,,,3
3835134197841326255,Referral,189861,United States,Cambridge,1221750000,1,673,42,,20170216,1487265868,EVENT,,12,10390000,,GGOEADWQ015699,Android Rise 14 oz Mug,Home/Drinkware/Mugs and Cups/,,,,,3
5450212768993016861,Referral,316853,United States,not available in demo dataset,,,1508,43,,20170105,1483632349,EVENT,,1,10390000,,GGOEADWQ015699,Android Rise 14 oz Mug,Home/Drinkware/Mugs and Cups/,,,,,3
9328692348677910181,Organic Search,180337,India,not available in demo dataset,,,665,27,,20170324,1490338007,EVENT,,1,4500000,,GGOEGCGB022199,Fashion Sunglasses & Pouch,${escCatTitle},,,,,3
